id,title,in_stock,price,players,age,maker,bbg_url,url
GKCH0253,Шерлок. Далекий захід. Проклята шахта (Sherlock Far West: The Cursed Mine),В наявності,180.0,1 - 8,8+,Geekach,,https://geekach.com.ua/sherlok.-dalekyi-zakhid.-prokliata-shakhta-sherlock-far-west-the-cursed-mine/
GKCH0254,Шерлок. Вілла Діодаті (Villa Diodati),В наявності,180.0,1 - 8,10+,Geekach,,https://geekach.com.ua/sherlok.-villa-diodati-villa-diodati/
GKCH0255,Шерлок. Зниклий безвісти (Whereabouts Unknown),В наявності,180.0,1 - 8,10+,Geekach,,https://geekach.com.ua/sherlok.-znyklyi-bezvisty-whereabouts-unknown/
GKCH0256,Шерлок. І жили вони довго та щасливо (Happily Ever After),В наявності,180.0,1 - 8,10+,Geekach,,https://geekach.com.ua/sherlok.-i-zhyly-vony-dovho-ta-shchaslyvo-happily-ever-after/
GKCH0257,Шерлок дитячий. Загадкове зникнення Суріґурі (Sherlock Junior: Suriguri),В наявності,180.0,2 - 8,8+,Geekach,,https://geekach.com.ua/sherlok-dytiachyi.-zahadkove-znyknennia-suriguri-sherlock-junior-suriguri/
GKCH0258,Шерлок дитячий. Де Альба? (Sherlock Junior: Alba),В наявності,180.0,2 - 8,8+,Geekach,,https://geekach.com.ua/sherlok-dytiachyi.-de-alba-sherlock-junior-alba/
GKCH0259,Шерлок дитячий. Собачі справи (Sherlock Junior: Incidente),В наявності,180.0,2 - 8,8+,Geekach,,https://geekach.com.ua/sherlok-dytiachyi.-sobachi-spravy-sherlock-junior-incidente/
MTG0341,Rivals of Ixalan Bundle Magic The Gathering (Боротьба за Іксалан) АНГЛ,В наявності,3300.0,2,13+,Wizards of the Coast,,https://geekach.com.ua/rivals-of-ixalan-bundle-magic-the-gathering-borotba-za-iksalan-angl/
D41340001,Aetherdrift Bundle Magic The Gathering АНГЛ,В наявності,2720.0,2,13+,Wizards of the Coast,,https://geekach.com.ua/aetherdrift-bundle-magic-the-gathering-anhl/
dslr0003,Стартовий набір Disney Lorcana Archazia's Island: Iago & Jafar,В наявності,1100.0,2+,8+,Ravensburger,,https://geekach.com.ua/startovyi-nabir-disney-lorcana-archazias-island-iago-jafar-anhl/
dslr0004,Стартовий набір Disney Lorcana Archazia's Island: Beauty & Beast,В наявності,1100.0,2+,8+,Ravensburger,,https://geekach.com.ua/startovyi-nabir-disney-lorcana-archazias-island-beauty-beast-anhl/
dslr0005,Комплект стартових наборів Disney Lorcana Archazia's Island,В наявності,1936.0,2+,8+,Ravensburger,,https://geekach.com.ua/komplekt-startovykh-naboriv-disney-lorcana-archazias-island-anhl/
swu001,Star Wars: Unlimited. Shadows of the Galaxy. Two-Player Starter,В наявності,1599.0,2 - 4,12+,Fantasy Flight Games,,https://geekach.com.ua/star-wars-unlimited.-shadows-of-the-galaxy.-two-player-starter/
swu002,Star Wars: Unlimited. Twilight of the Republic. Two-Player Starter,В наявності,1599.0,2 - 4,12+,Fantasy Flight Games,,https://geekach.com.ua/star-wars-unlimited.-twilight-of-the-republic.-two-player-starter/
FGS040,Правда чи Діло: БДСМ,В наявності,489.0,2,18+,Fun Games Shop,,https://geekach.com.ua/pravda-chy-dilo-bdsm/
80001,Будьмо!,В наявності,349.0,4 - 10,18+,Fun Games Shop,,https://geekach.com.ua/budmo/
OTH0027,Мемологія (Memology),В наявності,849.0,2+,17+,Memo Games,,https://geekach.com.ua/memologiya-memology/
bvrgms01,Tiny Epic Вікінги (Tiny Epic Vikings),В наявності,1150.0,1 - 4,14+,Beaver Games,,https://geekach.com.ua/tiny-epic-vikinhy-tiny-epic-vikings/
12024,Хрещений батько. Імперія Корлеоне (The Godfather),В наявності,3490.0,2 - 5,14+,Планета Ігор,,https://geekach.com.ua/khreshchenyi-batko.-imperiia-korleone-the-godfather/
zman010,Pandemic: Hot Zone - Europe,В наявності,881.0,2 - 4,8+,Z-Man Games,,https://geekach.com.ua/pandemic-hot-zone-europe/
GIGA001,Марракеш (Marrakech),В наявності,1650.0,2 - 4,6+,Gigamic,,https://geekach.com.ua/marrakesh-marrakech/
